Starting hill-climbing for prompt.md...
  section_01.json: 5 concepts, fitness=0.9045 [single]
  section_02.json: 4 concepts, fitness=0.7626 [single]
  section_03.json: 0 concepts, fitness=0.0000 [single]
  section_04.json: 6 concepts, fitness=0.8907 [single]
  section_05.json: 4 concepts, fitness=0.8573 [single]
  section_06.json: 2 concepts, fitness=0.7982 [single]
  section_07.json: 6 concepts, fitness=0.7560 [single]
  section_08.json: 5 concepts, fitness=0.7420 [single]
  section_09.json: 4 concepts, fitness=0.8227 [single]
  section_10.json: 4 concepts, fitness=0.7721 [single]
  section_11.json: 4 concepts, fitness=0.9136 [single]
  section_12.json: 5 concepts, fitness=0.8628 [single]
  section_13.json: 4 concepts, fitness=0.8968 [single]
  section_14.json: 5 concepts, fitness=0.8624 [single]
  section_15.json: 5 concepts, fitness=0.7953 [single]
  section_16.json: 11 concepts, fitness=0.7471 [torrent]
  section_17.json: 14 concepts, fitness=0.7649 [torrent]
  section_18.json: 13 concepts, fitness=0.7936 [torrent]
  section_19.json: 12 concepts, fitness=0.7726 [torrent]
  section_23.json: 11 concepts, fitness=0.8530 [torrent]
  section_24.json: 5 concepts, fitness=0.7103 [torrent]
  section_26.json: 17 concepts, fitness=0.6961 [torrent]
  section_27.json: 13 concepts, fitness=0.7070 [torrent]
  section_32.json: 17 concepts, fitness=0.7929 [torrent]
  section_33.json: 8 concepts, fitness=0.7682 [torrent]
  AVG FITNESS: 0.7697 (25 samples)
phc: baseline 0.7697 (25 cases)
phc: iter  1  0.0000  REVERT
phc: iter  2  0.0000  REVERT
phc: iter  3  0.0000  REVERT
  section_01.json: 4 concepts, fitness=0.8425 [single]
  section_02.json: 5 concepts, fitness=0.7966 [single]
  section_03.json: 4 concepts, fitness=0.8213 [single]
  section_04.json: 0 concepts, fitness=0.0000 [single]
  section_05.json: 4 concepts, fitness=0.8960 [single]
  section_06.json: 3 concepts, fitness=0.8008 [single]
  section_07.json: 7 concepts, fitness=0.7615 [single]
  section_08.json: 7 concepts, fitness=0.8260 [single]
  section_09.json: 5 concepts, fitness=0.7838 [single]
  section_10.json: 6 concepts, fitness=0.8519 [single]
  section_11.json: 4 concepts, fitness=0.9292 [single]
  section_12.json: 6 concepts, fitness=0.8565 [single]
  section_13.json: 4 concepts, fitness=0.8495 [single]
  section_14.json: 7 concepts, fitness=0.8544 [single]
  section_15.json: 5 concepts, fitness=0.8275 [single]
  section_16.json: 15 concepts, fitness=0.8361 [torrent]
  section_17.json: 13 concepts, fitness=0.7633 [torrent]
  section_18.json: 16 concepts, fitness=0.7193 [torrent]
  section_19.json: 16 concepts, fitness=0.7641 [torrent]
  section_23.json: 13 concepts, fitness=0.8182 [torrent]
  section_24.json: 0 concepts, fitness=0.0000 [torrent]
  section_26.json: 11 concepts, fitness=0.6484 [torrent]
  section_27.json: 13 concepts, fitness=0.7374 [torrent]
  section_32.json: 19 concepts, fitness=0.7247 [torrent]
  section_33.json: 18 concepts, fitness=0.7589 [torrent]
  AVG FITNESS: 0.7387 (25 samples)
phc: iter  4  0.7387  REVERT
phc: iter  5  0.0000  REVERT
phc: iter  6  0.0000  REVERT
  section_01.json: 3 concepts, fitness=0.8164 [single]
  section_02.json: 4 concepts, fitness=0.7985 [single]
  section_03.json: 3 concepts, fitness=0.8188 [single]
  section_04.json: 5 concepts, fitness=0.8661 [single]
  section_05.json: 4 concepts, fitness=0.8607 [single]
  section_06.json: 3 concepts, fitness=0.7997 [single]
  section_07.json: 6 concepts, fitness=0.7193 [single]
  section_08.json: 5 concepts, fitness=0.7401 [single]
  section_09.json: 4 concepts, fitness=0.8215 [single]
  section_10.json: 5 concepts, fitness=0.8118 [single]
  section_11.json: 4 concepts, fitness=0.9039 [single]
  section_12.json: 5 concepts, fitness=0.8414 [single]
  section_13.json: 4 concepts, fitness=0.8438 [single]
  section_14.json: 6 concepts, fitness=0.8497 [single]
  section_15.json: 4 concepts, fitness=0.7953 [single]
  section_16.json: 10 concepts, fitness=0.8142 [torrent]
  section_17.json: 14 concepts, fitness=0.7838 [torrent]
  section_18.json: 12 concepts, fitness=0.7815 [torrent]
  section_19.json: 7 concepts, fitness=0.8398 [torrent]
  section_23.json: 10 concepts, fitness=0.7819 [torrent]
  section_24.json: 9 concepts, fitness=0.7629 [torrent]
  section_26.json: 13 concepts, fitness=0.7483 [torrent]
  section_27.json: 12 concepts, fitness=0.7568 [torrent]
  section_32.json: 16 concepts, fitness=0.8067 [torrent]
  section_33.json: 14 concepts, fitness=0.7641 [torrent]
  AVG FITNESS: 0.8051 (25 samples)
phc: iter  7  0.8051  KEEP  +0.0354
  section_01.json: 0 concepts, fitness=0.0000 [single]
  section_02.json: 0 concepts, fitness=0.0000 [single]
  section_03.json: 0 concepts, fitness=0.0000 [single]
  section_04.json: 0 concepts, fitness=0.0000 [single]
  section_05.json: 0 concepts, fitness=0.0000 [single]
  section_06.json: 0 concepts, fitness=0.0000 [single]
  section_07.json: 0 concepts, fitness=0.0000 [single]
  section_08.json: 0 concepts, fitness=0.0000 [single]
  section_09.json: 0 concepts, fitness=0.0000 [single]
  section_10.json: 0 concepts, fitness=0.0000 [single]
  section_11.json: 0 concepts, fitness=0.0000 [single]
  section_12.json: 0 concepts, fitness=0.0000 [single]
  section_13.json: 0 concepts, fitness=0.0000 [single]
  section_14.json: 0 concepts, fitness=0.0000 [single]
  section_15.json: 0 concepts, fitness=0.0000 [single]
  section_16.json: 0 concepts, fitness=0.0000 [torrent]
  section_17.json: 0 concepts, fitness=0.0000 [torrent]
  section_18.json: 0 concepts, fitness=0.0000 [torrent]
  section_19.json: 0 concepts, fitness=0.0000 [torrent]
  section_23.json: 0 concepts, fitness=0.0000 [torrent]
  section_24.json: 0 concepts, fitness=0.0000 [torrent]
  section_26.json: 0 concepts, fitness=0.0000 [torrent]
  section_27.json: 0 concepts, fitness=0.0000 [torrent]
  section_32.json: 0 concepts, fitness=0.0000 [torrent]
  section_33.json: 0 concepts, fitness=0.0000 [torrent]
  AVG FITNESS: 0.0000 (25 samples)
phc: iter  8  0.0000  REVERT
phc: iter  9  0.0000  REVERT
  section_01.json: 5 concepts, fitness=0.9003 [single]
  section_02.json: 4 concepts, fitness=0.8241 [single]
  section_03.json: 3 concepts, fitness=0.8190 [single]
  section_04.json: 6 concepts, fitness=0.8834 [single]
  section_05.json: 4 concepts, fitness=0.8566 [single]
  section_06.json: 3 concepts, fitness=0.8014 [single]
  section_07.json: 6 concepts, fitness=0.7753 [single]
  section_08.json: 7 concepts, fitness=0.8188 [single]
  section_09.json: 4 concepts, fitness=0.8189 [single]
  section_10.json: 5 concepts, fitness=0.8524 [single]
  section_11.json: 4 concepts, fitness=0.9077 [single]
  section_12.json: 5 concepts, fitness=0.8712 [single]
  section_13.json: 4 concepts, fitness=0.8097 [single]
  section_14.json: 5 concepts, fitness=0.8612 [single]
  section_15.json: 5 concepts, fitness=0.7892 [single]
  section_16.json: 13 concepts, fitness=0.8423 [torrent]
  section_17.json: 12 concepts, fitness=0.7443 [torrent]
  section_18.json: 9 concepts, fitness=0.7651 [torrent]
  section_19.json: 14 concepts, fitness=0.7888 [torrent]
  section_23.json: 3 concepts, fitness=0.6026 [torrent]
  section_24.json: 4 concepts, fitness=0.7297 [torrent]
  section_26.json: 16 concepts, fitness=0.7051 [torrent]
  section_27.json: 13 concepts, fitness=0.7618 [torrent]
  section_32.json: 18 concepts, fitness=0.7999 [torrent]
  section_33.json: 16 concepts, fitness=0.7382 [torrent]
  AVG FITNESS: 0.8027 (25 samples)
phc: iter 10  0.8027  REVERT
phc: iter 11  0.0000  REVERT
  section_01.json: 0 concepts, fitness=0.0000 [single]
  section_02.json: 0 concepts, fitness=0.0000 [single]
  section_03.json: 0 concepts, fitness=0.0000 [single]
  section_04.json: 0 concepts, fitness=0.0000 [single]
  section_05.json: 0 concepts, fitness=0.0000 [single]
  section_06.json: 0 concepts, fitness=0.0000 [single]
  section_07.json: 0 concepts, fitness=0.0000 [single]
  section_08.json: 0 concepts, fitness=0.0000 [single]
  section_09.json: 0 concepts, fitness=0.0000 [single]
  section_10.json: 0 concepts, fitness=0.0000 [single]
  section_11.json: 0 concepts, fitness=0.0000 [single]
  section_12.json: 0 concepts, fitness=0.0000 [single]
  section_13.json: 0 concepts, fitness=0.0000 [single]
  section_14.json: 0 concepts, fitness=0.0000 [single]
  section_15.json: 0 concepts, fitness=0.0000 [single]
  section_16.json: 0 concepts, fitness=0.0000 [torrent]
  section_17.json: 0 concepts, fitness=0.0000 [torrent]
  section_18.json: 0 concepts, fitness=0.0000 [torrent]
  section_19.json: 0 concepts, fitness=0.0000 [torrent]
  section_23.json: 0 concepts, fitness=0.0000 [torrent]
  section_24.json: 0 concepts, fitness=0.0000 [torrent]
  section_26.json: 0 concepts, fitness=0.0000 [torrent]
  section_27.json: 0 concepts, fitness=0.0000 [torrent]
  section_32.json: 0 concepts, fitness=0.0000 [torrent]
  section_33.json: 0 concepts, fitness=0.0000 [torrent]
  AVG FITNESS: 0.0000 (25 samples)
phc: iter 12  0.0000  REVERT
  section_01.json: 4 concepts, fitness=0.8397 [single]
  section_02.json: 5 concepts, fitness=0.8350 [single]
  section_03.json: 3 concepts, fitness=0.8109 [single]
  section_04.json: 0 concepts, fitness=0.0000 [single]
  section_05.json: 4 concepts, fitness=0.8924 [single]
  section_06.json: 4 concepts, fitness=0.8521 [single]
  section_07.json: 0 concepts, fitness=0.0000 [single]
  section_08.json: 8 concepts, fitness=0.7846 [single]
  section_09.json: 4 concepts, fitness=0.8244 [single]
  section_10.json: 7 concepts, fitness=0.8749 [single]
  section_11.json: 0 concepts, fitness=0.0000 [single]
  section_12.json: 6 concepts, fitness=0.8448 [single]
  section_13.json: 5 concepts, fitness=0.9233 [single]
  section_14.json: 7 concepts, fitness=0.8529 [single]
  section_15.json: 0 concepts, fitness=0.0000 [single]
  section_16.json: 15 concepts, fitness=0.8419 [torrent]
  section_17.json: 16 concepts, fitness=0.7446 [torrent]
  section_18.json: 9 concepts, fitness=0.7402 [torrent]
  section_19.json: 16 concepts, fitness=0.7583 [torrent]
  section_23.json: 14 concepts, fitness=0.8297 [torrent]
  section_24.json: 14 concepts, fitness=0.7846 [torrent]
  section_26.json: 21 concepts, fitness=0.7237 [torrent]
  section_27.json: 15 concepts, fitness=0.7420 [torrent]
  section_32.json: 22 concepts, fitness=0.7333 [torrent]
  section_33.json: 12 concepts, fitness=0.7592 [torrent]
  AVG FITNESS: 0.6797 (25 samples)
phc: iter 13  0.6797  REVERT
  section_01.json: 0 concepts, fitness=0.0000 [single]
  section_02.json: 0 concepts, fitness=0.0000 [single]
  section_03.json: 0 concepts, fitness=0.0000 [single]
  section_04.json: 0 concepts, fitness=0.0000 [single]
  section_05.json: 0 concepts, fitness=0.0000 [single]
  section_06.json: 0 concepts, fitness=0.0000 [single]
  section_07.json: 0 concepts, fitness=0.0000 [single]
  section_08.json: 0 concepts, fitness=0.0000 [single]
  section_09.json: 0 concepts, fitness=0.0000 [single]
  section_10.json: 0 concepts, fitness=0.0000 [single]
  section_11.json: 0 concepts, fitness=0.0000 [single]
  section_12.json: 0 concepts, fitness=0.0000 [single]
  section_13.json: 0 concepts, fitness=0.0000 [single]
  section_14.json: 0 concepts, fitness=0.0000 [single]
  section_15.json: 0 concepts, fitness=0.0000 [single]
  section_16.json: 0 concepts, fitness=0.0000 [torrent]
  section_17.json: 0 concepts, fitness=0.0000 [torrent]
  section_18.json: 0 concepts, fitness=0.0000 [torrent]
  section_19.json: 0 concepts, fitness=0.0000 [torrent]
  section_23.json: 0 concepts, fitness=0.0000 [torrent]
  section_24.json: 0 concepts, fitness=0.0000 [torrent]
  section_26.json: 0 concepts, fitness=0.0000 [torrent]
  section_27.json: 0 concepts, fitness=0.0000 [torrent]
  section_32.json: 0 concepts, fitness=0.0000 [torrent]
  section_33.json: 0 concepts, fitness=0.0000 [torrent]
  AVG FITNESS: 0.0000 (25 samples)
phc: iter 14  0.0000  REVERT
  section_01.json: 4 concepts, fitness=0.8408 [single]
  section_02.json: 6 concepts, fitness=0.8174 [single]
  section_03.json: 3 concepts, fitness=0.8169 [single]
  section_04.json: 0 concepts, fitness=0.0000 [single]
  section_05.json: 5 concepts, fitness=0.8943 [single]
  section_06.json: 4 concepts, fitness=0.8467 [single]
  section_07.json: 0 concepts, fitness=0.0000 [single]
  section_08.json: 0 concepts, fitness=0.0000 [single]
  section_09.json: 5 concepts, fitness=0.8169 [single]
  section_10.json: 0 concepts, fitness=0.0000 [single]
  section_11.json: 0 concepts, fitness=0.0000 [single]
  section_12.json: 6 concepts, fitness=0.8554 [single]
  section_13.json: 5 concepts, fitness=0.7948 [single]
  section_14.json: 8 concepts, fitness=0.8397 [single]
  section_15.json: 8 concepts, fitness=0.8059 [single]
  section_16.json: 19 concepts, fitness=0.8288 [torrent]
  section_17.json: 21 concepts, fitness=0.7335 [torrent]
  section_18.json: 18 concepts, fitness=0.8108 [torrent]
  section_19.json: 7 concepts, fitness=0.8332 [torrent]
  section_23.json: 2 concepts, fitness=0.6122 [torrent]
  section_24.json: 15 concepts, fitness=0.7914 [torrent]
  section_26.json: 12 concepts, fitness=0.6167 [torrent]
  section_27.json: 10 concepts, fitness=0.7375 [torrent]
  section_32.json: 23 concepts, fitness=0.7525 [torrent]
  section_33.json: 11 concepts, fitness=0.7181 [torrent]
  AVG FITNESS: 0.6305 (25 samples)
phc: iter 15  0.6305  REVERT
phc: iter 16  0.0000  REVERT
  section_01.json: 0 concepts, fitness=0.0000 [single]
  section_02.json: 0 concepts, fitness=0.0000 [single]
  section_03.json: 0 concepts, fitness=0.0000 [single]
  section_04.json: 0 concepts, fitness=0.0000 [single]
  section_05.json: 0 concepts, fitness=0.0000 [single]
  section_06.json: 0 concepts, fitness=0.0000 [single]
  section_07.json: 0 concepts, fitness=0.0000 [single]
  section_08.json: 0 concepts, fitness=0.0000 [single]
  section_09.json: 0 concepts, fitness=0.0000 [single]
  section_10.json: 0 concepts, fitness=0.0000 [single]
  section_11.json: 0 concepts, fitness=0.0000 [single]
  section_12.json: 0 concepts, fitness=0.0000 [single]
  section_13.json: 0 concepts, fitness=0.0000 [single]
  section_14.json: 0 concepts, fitness=0.0000 [single]
  section_15.json: 0 concepts, fitness=0.0000 [single]
  section_16.json: 0 concepts, fitness=0.0000 [torrent]
  section_17.json: 0 concepts, fitness=0.0000 [torrent]
  section_18.json: 0 concepts, fitness=0.0000 [torrent]
  section_19.json: 0 concepts, fitness=0.0000 [torrent]
  section_23.json: 0 concepts, fitness=0.0000 [torrent]
  section_24.json: 0 concepts, fitness=0.0000 [torrent]
  section_26.json: 0 concepts, fitness=0.0000 [torrent]
  section_27.json: 0 concepts, fitness=0.0000 [torrent]
  section_32.json: 0 concepts, fitness=0.0000 [torrent]
  section_33.json: 0 concepts, fitness=0.0000 [torrent]
  AVG FITNESS: 0.0000 (25 samples)
phc: iter 17  0.0000  REVERT
  section_01.json: 0 concepts, fitness=0.0000 [single]
  section_02.json: 0 concepts, fitness=0.0000 [single]
  section_03.json: 0 concepts, fitness=0.0000 [single]
  section_04.json: 0 concepts, fitness=0.0000 [single]
  section_05.json: 0 concepts, fitness=0.0000 [single]
  section_06.json: 0 concepts, fitness=0.0000 [single]
  section_07.json: 0 concepts, fitness=0.0000 [single]
  section_08.json: 0 concepts, fitness=0.0000 [single]
  section_09.json: 0 concepts, fitness=0.0000 [single]
  section_10.json: 0 concepts, fitness=0.0000 [single]
  section_11.json: 0 concepts, fitness=0.0000 [single]
  section_12.json: 0 concepts, fitness=0.0000 [single]
  section_13.json: 0 concepts, fitness=0.0000 [single]
  section_14.json: 0 concepts, fitness=0.0000 [single]
  section_15.json: 0 concepts, fitness=0.0000 [single]
  section_16.json: 0 concepts, fitness=0.0000 [torrent]
  section_17.json: 0 concepts, fitness=0.0000 [torrent]
  section_18.json: 0 concepts, fitness=0.0000 [torrent]
  section_19.json: 0 concepts, fitness=0.0000 [torrent]
  section_23.json: 0 concepts, fitness=0.0000 [torrent]
  section_24.json: 0 concepts, fitness=0.0000 [torrent]
  section_26.json: 0 concepts, fitness=0.0000 [torrent]
  section_27.json: 0 concepts, fitness=0.0000 [torrent]
  section_32.json: 0 concepts, fitness=0.0000 [torrent]
  section_33.json: 0 concepts, fitness=0.0000 [torrent]
  AVG FITNESS: 0.0000 (25 samples)
phc: iter 18  0.0000  REVERT
phc: iter 19  0.0000  REVERT
  section_01.json: 4 concepts, fitness=0.8471 [single]
  section_02.json: 4 concepts, fitness=0.7863 [single]
  section_03.json: 3 concepts, fitness=0.8191 [single]
  section_04.json: 0 concepts, fitness=0.0000 [single]
  section_05.json: 4 concepts, fitness=0.8946 [single]
  section_06.json: 3 concepts, fitness=0.8014 [single]
  section_07.json: 6 concepts, fitness=0.7182 [single]
  section_08.json: 6 concepts, fitness=0.7994 [single]
  section_09.json: 4 concepts, fitness=0.8242 [single]
  section_10.json: 5 concepts, fitness=0.8526 [single]
  section_11.json: 4 concepts, fitness=0.8988 [single]
  section_12.json: 5 concepts, fitness=0.8365 [single]
  section_13.json: 4 concepts, fitness=0.8601 [single]
  section_14.json: 6 concepts, fitness=0.8635 [single]
  section_15.json: 5 concepts, fitness=0.7918 [single]
  section_16.json: 10 concepts, fitness=0.8541 [torrent]
  section_17.json: 9 concepts, fitness=0.7528 [torrent]
  section_18.json: 13 concepts, fitness=0.7170 [torrent]
  section_19.json: 12 concepts, fitness=0.8087 [torrent]
  section_23.json: 10 concepts, fitness=0.8087 [torrent]
  section_24.json: 9 concepts, fitness=0.7775 [torrent]
  section_26.json: 15 concepts, fitness=0.7324 [torrent]
  section_27.json: 8 concepts, fitness=0.7544 [torrent]
  section_32.json: 18 concepts, fitness=0.7816 [torrent]
  section_33.json: 10 concepts, fitness=0.7703 [torrent]
  AVG FITNESS: 0.7740 (25 samples)
phc: iter 20  0.7740  REVERT
