phc: starting hill-climb for prompt.md
phc: executor=http://localhost:8082/v1  proposer=anthropic:claude-haiku-4-5-20251001
phc: 25 test cases, max 20 iterations
  section_01.json: 5 concepts, fitness=0.9045 [single]
  section_02.json: 4 concepts, fitness=0.8087 [single]
  section_03.json: 0 concepts, fitness=0.0000 [single]
  section_04.json: 5 concepts, fitness=0.9465 [single]
  section_05.json: 4 concepts, fitness=0.8517 [single]
  section_06.json: 2 concepts, fitness=0.7989 [single]
  section_07.json: 6 concepts, fitness=0.7512 [single]
  section_08.json: 5 concepts, fitness=0.7694 [single]
  section_09.json: 4 concepts, fitness=0.8235 [single]
  section_10.json: 4 concepts, fitness=0.8432 [single]
  section_11.json: 4 concepts, fitness=0.9079 [single]
  section_12.json: 5 concepts, fitness=0.8628 [single]
  section_13.json: 5 concepts, fitness=0.9476 [single]
  section_14.json: 5 concepts, fitness=0.9003 [single]
  section_15.json: 5 concepts, fitness=0.7953 [single]
  section_16.json: 10 concepts, fitness=0.7505 [torrent]
  section_17.json: 14 concepts, fitness=0.7399 [torrent]
  section_18.json: 15 concepts, fitness=0.7320 [torrent]
  section_19.json: 12 concepts, fitness=0.7539 [torrent]
  section_23.json: 10 concepts, fitness=0.8826 [torrent]
  section_24.json: 12 concepts, fitness=0.7490 [torrent]
  section_26.json: 15 concepts, fitness=0.7143 [torrent]
  section_27.json: 13 concepts, fitness=0.7089 [torrent]
  section_32.json: 17 concepts, fitness=0.7960 [torrent]
  section_33.json: 13 concepts, fitness=0.7646 [torrent]
  AVG FITNESS: 0.7801 (25 samples)
phc: baseline 0.7801 (25 cases)
  [proposer] template splice: 17196 chars mutated, 2885 chars preserved
  section_01.json: 4 concepts, fitness=0.8390 [single]
  section_02.json: 4 concepts, fitness=0.8006 [single]
  section_03.json: 3 concepts, fitness=0.8081 [single]
  section_04.json: 5 concepts, fitness=0.8636 [single]
  section_05.json: 5 concepts, fitness=0.8489 [single]
  section_06.json: 3 concepts, fitness=0.8038 [single]
  section_07.json: 6 concepts, fitness=0.7267 [single]
  section_08.json: 6 concepts, fitness=0.7675 [single]
  section_09.json: 4 concepts, fitness=0.8208 [single]
  section_10.json: 3 concepts, fitness=0.8039 [single]
  section_11.json: 4 concepts, fitness=0.9114 [single]
  section_12.json: 5 concepts, fitness=0.8613 [single]
  section_13.json: 3 concepts, fitness=0.7942 [single]
  section_14.json: 5 concepts, fitness=0.9021 [single]
  section_15.json: 5 concepts, fitness=0.8219 [single]
  section_16.json: 12 concepts, fitness=0.7892 [torrent]
  section_17.json: 13 concepts, fitness=0.7534 [torrent]
  section_18.json: 14 concepts, fitness=0.8025 [torrent]
  section_19.json: 12 concepts, fitness=0.7548 [torrent]
  section_23.json: 2 concepts, fitness=0.6022 [torrent]
  section_24.json: 4 concepts, fitness=0.6727 [torrent]
  section_26.json: 17 concepts, fitness=0.7529 [torrent]
  section_27.json: 13 concepts, fitness=0.7482 [torrent]
  section_32.json: 19 concepts, fitness=0.7654 [torrent]
  section_33.json: 10 concepts, fitness=0.7571 [torrent]
  AVG FITNESS: 0.7909 (25 samples)
phc: iter   1  0.7909  KEEP   +0.0108
  [proposer] template splice: 17325 chars mutated, 2885 chars preserved
  section_01.json: 2 concepts, fitness=0.7168 [single]
  section_02.json: 4 concepts, fitness=0.7699 [single]
  section_03.json: 3 concepts, fitness=0.8077 [single]
  section_04.json: 6 concepts, fitness=0.7925 [single]
  section_05.json: 4 concepts, fitness=0.8168 [single]
  section_06.json: 0 concepts, fitness=0.0000 [single]
  section_07.json: 6 concepts, fitness=0.7592 [single]
  section_08.json: 5 concepts, fitness=0.7709 [single]
  section_09.json: 4 concepts, fitness=0.8191 [single]
  section_10.json: 3 concepts, fitness=0.8073 [single]
  section_11.json: 4 concepts, fitness=0.9084 [single]
  section_12.json: 0 concepts, fitness=0.0000 [single]
  section_13.json: 3 concepts, fitness=0.8512 [single]
  section_14.json: 6 concepts, fitness=0.8899 [single]
  section_15.json: 5 concepts, fitness=0.8009 [single]
  section_16.json: 9 concepts, fitness=0.7830 [torrent]
  section_17.json: 9 concepts, fitness=0.7885 [torrent]
  section_18.json: 13 concepts, fitness=0.8569 [torrent]
  section_19.json: 13 concepts, fitness=0.7808 [torrent]
  section_23.json: 11 concepts, fitness=0.8740 [torrent]
  section_24.json: 4 concepts, fitness=0.6975 [torrent]
  section_26.json: 16 concepts, fitness=0.7278 [torrent]
  section_27.json: 12 concepts, fitness=0.7851 [torrent]
  section_32.json: 18 concepts, fitness=0.7662 [torrent]
  section_33.json: 5 concepts, fitness=0.7144 [torrent]
  AVG FITNESS: 0.7314 (25 samples)
